lat,lon,l2,l3,l4,l5,l6
37.761291136424205,-122.48503873045601,1,2,3,3,2
37.772540539159301,-122.46620466789301,1,2,3,3,2
37.775420706711003,-122.40340479147899,0,1,0,4,5
37.786439452476394,-122.409660751795,0,1,0,4,5
37.757880121443698,-122.417955821717,1,0,1,0,0
37.786988188530799,-122.410699657634,0,1,0,4,5
37.786988188530799,-122.410699657634,0,1,0,4,5
37.786988188530799,-122.410699657634,0,1,0,4,5
37.7578884408086,-122.417817852676,1,0,1,0,0
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.775420706711003,-122.40340479147899,0,1,0,4,5
37.775420706711003,-122.40340479147899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.783310406701496,-122.38837987391899,0,1,0,4,5
37.790463177977102,-122.405941469147,0,1,0,4,5
37.789901982250797,-122.40711449111799,0,1,0,4,5
37.785998832379796,-122.41174737192399,0,1,0,1,5
37.785934257179605,-122.42650814200501,0,1,0,1,1
37.7808757916602,-122.47019041590099,0,2,3,3,2
37.776955113843606,-122.41799760821002,0,1,0,1,1
37.7513339691629,-122.47834961602599,1,2,3,3,2
37.7588312134679,-122.415781281593,1,0,1,0,0
37.7586968166489,-122.41796448376002,1,0,1,0,0
37.781255093548396,-122.45886061566999,0,1,3,3,2
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.785457490299699,-122.400916029025,0,1,0,4,5
37.738365565547596,-122.47548462962601,1,2,2,2,4
37.787359494956,-122.40823102626101,0,1,0,4,5
37.787965256979703,-122.418467747931,0,1,0,1,1
37.787965256979703,-122.418467747931,0,1,0,1,1
